2019-03-28 13:14:52,"b""hey I'm lonely U+1F601"""
2019-03-28 13:00:05,b'hi can you come over? U+1F601'
2019-03-28 12:34:53,b'umm wyd? U+1F601'
2019-03-28 12:24:44,b'hi can you come over? U+1F601'
2019-03-28 12:14:49,b'wtf can you come over? U+1F601'
2019-03-28 11:34:53,b'hi do you miss me? U+1F601'
2019-03-28 11:24:49,b'hi what you doing? U+1F601'
2019-03-28 09:54:50,b'hey baby I miss you U+1F601'
2019-03-28 09:34:33,b'hey I miss you U+1F601'
2019-03-28 08:54:53,b'hey do you miss me? U+1F601'
2019-03-28 08:35:03,b'hi I miss you U+1F601'
2019-03-28 07:24:52,b'hey wyd? U+1F601'
2019-03-28 06:25:03,"b""hi I'm lonely U+1F601"""
2019-03-28 05:54:37,b'umm can you come over? U+1F601'
2019-03-28 05:04:30,"b""hey baby I'm lonely U+1F601"""
2019-03-28 04:34:48,b'wtf do you miss me? U+1F601'
2019-03-28 04:24:56,b'umm do you miss me? U+1F601'
2019-03-28 03:34:53,b'umm I miss you U+1F601'
2019-03-28 03:04:45,b'hi wyd? U+1F601'
2019-03-28 01:44:38,b'wtf what you doing? U+1F601'
2019-03-28 00:34:45,b'hi do you miss me? U+1F601'
2019-03-28 00:24:56,b'umm what you doing? U+1F601'
2019-03-27 23:14:51,b'listen what you doing? U+1F601'
2019-03-27 22:14:51,b'listen I miss you U+1F601'
2019-03-27 20:44:50,b'hey do you miss me? U+1F601'
2019-03-27 18:54:51,"b""umm I'm lonely U+1F601"""
2019-03-27 18:44:46,b'hi can you come over? U+1F601'
2019-03-27 18:35:04,b'hi I miss you U+1F601'
2019-03-27 17:24:48,b'hey I miss you U+1F601'
2019-03-27 14:54:49,b'umm can you come over? U+1F601'
2019-03-27 14:44:49,b'umm I miss you U+1F601'
2019-03-27 14:24:54,b'hey baby what you doing? U+1F601'
2019-03-27 13:35:20,b'umm wyd? U+1F601'
2019-03-27 13:25:00,b'hey can you come over? U+1F601'
2019-03-27 12:45:19,b'hey baby can you come over? U+1F601'
2019-03-27 11:44:42,b'wtf what you doing? U+1F601'
2019-03-27 11:24:45,"b""listen I'm lonely U+1F601"""
2019-03-27 10:44:38,b'hey what you doing? U+1F601'
2019-03-27 10:05:01,"b""wtf I'm lonely U+1F601"""
2019-03-27 09:15:02,b'hi do you miss me? U+1F601'
2019-03-27 08:54:48,b'listen wyd? U+1F601'
2019-03-27 08:14:50,b'hi wyd? U+1F601'
2019-03-27 07:54:40,b'umm what you doing? U+1F601'
2019-03-27 04:34:58,b'hi what you doing? U+1F601'
2019-03-27 02:54:51,b'hi can you come over? U+1F601'
2019-03-27 02:45:13,b'hey wyd? U+1F601'
2019-03-27 00:54:48,b'wtf can you come over? U+1F601'
2019-03-26 23:04:58,"b""umm I'm lonely U+1F601"""
2019-03-26 22:35:11,b'hey baby can you come over? U+1F601'
2019-03-26 22:05:15,b'hey I miss you U+1F601'
2019-03-26 21:47:34,b'hey baby do you miss me? U+1F601'
2019-03-26 20:45:29,"b""listen I'm lonely U+1F601"""
2019-03-26 19:15:26,b'umm wyd? U+1F601'
2019-03-26 18:55:25,b'wtf what you doing? U+1F601'
2019-03-26 18:15:39,b'listen I miss you U+1F601'
2019-03-26 17:25:43,"b""wtf I'm lonely U+1F601"""
2019-03-26 17:05:15,"b""hey I'm lonely U+1F601"""
2019-03-26 15:45:22,b'hey baby what you doing? U+1F601'
2019-03-26 15:15:24,b'umm do you miss me? U+1F601'
2019-03-26 14:45:39,b'listen can you come over? U+1F601'
2019-03-26 14:35:19,b'hi wyd? U+1F601'
2019-03-26 14:05:12,b'hi I miss you U+1F601'
2019-03-26 13:17:24,"b""RT @robort0101: hey baby I'm lonely U+1F601"""
2019-03-26 13:15:21,"b""hey baby I'm lonely U+1F601"""
2019-03-26 13:05:12,b'hey can you come over? U+1F601'
2019-03-26 12:35:14,b'wtf I miss you U+1F601'
2019-03-26 12:17:39,"b""RT @robort0101: hey I'm lonely U+1F601"""
2019-03-26 12:15:13,"b""hey I'm lonely U+1F601"""
2019-03-26 12:05:10,b'hey baby I miss you U+1F601'
2019-03-26 10:45:01,b'hey baby wyd? U+1F601'
2019-03-26 09:45:01,b'listen wyd? U+1F601'
2019-03-26 09:35:15,b'umm can you come over? U+1F601'
2019-03-26 09:14:55,b'wtf can you come over? U+1F601'
2019-03-26 08:54:47,b'listen do you miss me? U+1F601'
2019-03-26 08:44:46,b'hey baby do you miss me? U+1F601'
2019-03-26 07:54:56,b'hey what you doing? U+1F601'
2019-03-26 07:34:45,"b""wtf I'm lonely U+1F601"""
2019-03-26 06:24:53,b'wtf what you doing? U+1F601'
2019-03-26 06:15:03,b'umm what you doing? U+1F601'
2019-03-26 06:05:02,b'umm I miss you U+1F601'
2019-03-26 05:54:59,b'listen I miss you U+1F601'
2019-03-26 05:45:31,"b""umm I'm lonely U+1F601"""
2019-03-26 05:24:57,b'hey wyd? U+1F601'
2019-03-26 04:25:09,b'hi what you doing? U+1F601'
2019-03-26 04:15:12,b'wtf wyd? U+1F601'
2019-03-26 03:25:07,b'listen what you doing? U+1F601'
2019-03-26 03:05:08,b'hey baby what you doing? U+1F601'
2019-03-26 02:25:09,b'umm do you miss me? U+1F601'
2019-03-26 02:15:27,b'umm wyd? U+1F601'
2019-03-26 02:05:06,b'hi can you come over? U+1F601'
2019-03-26 01:17:17,"b""RT @robort0101: hi I'm lonely U+1F601"""
2019-03-26 01:15:09,"b""hi I'm lonely U+1F601"""
2019-03-26 00:55:06,b'listen can you come over? U+1F601'
2019-03-26 00:45:20,b'hey I miss you U+1F601'
2019-03-25 23:45:24,"b""listen I'm lonely U+1F601"""
2019-03-25 23:05:05,b'hi wyd? U+1F601'
2019-03-25 22:55:04,"b""hey I'm lonely U+1F601"""
2019-03-25 21:35:19,b'hi do you miss me? U+1F601'
2019-03-25 20:15:54,b'hey do you miss me? U+1F601'
2019-03-25 19:35:29,b'hey what you doing? U+1F601'
